date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:24	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Apr%202021%2017:38:22%20GMT	https://202020.net/robots.txt		(from )
20:38:25	97532/97532	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2008:38:01%20GMT	https://202020.net/	C:/Users/im03th/Desktop/202020/1/202020.net/index.html	(from )
20:38:25	4261/4261	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20May%202020%2008:12:49%20GMT	https://202020.net/anylinkmenu.css	C:/Users/im03th/Desktop/202020/1/202020.net/anylinkmenu.css	(from https://202020.net/)
20:38:25	13542/13542	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2002%20Jan%202021%2018:55:43%20GMT	https://202020.net/menucontents.js	C:/Users/im03th/Desktop/202020/1/202020.net/menucontents.js	(from https://202020.net/)
20:38:25	9909/9909	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2010%20Jun%202018%2013:21:44%20GMT	https://202020.net/anylinkmenu.js	C:/Users/im03th/Desktop/202020/1/202020.net/anylinkmenu.js	(from https://202020.net/)
20:38:25	1763/1763	---MCZ	200	added ('OK')	text/css	date:Sat,%2003%20Oct%202009%2006:00:00%20GMT	https://202020.net/ajaxtabs/ajaxtabs.css	C:/Users/im03th/Desktop/202020/1/202020.net/ajaxtabs/ajaxtabs.css	(from https://202020.net/)
20:38:26	6624/6624	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2003%20Oct%202009%2006:00:00%20GMT	https://202020.net/ajaxtabs/ajaxtabs.js	C:/Users/im03th/Desktop/202020/1/202020.net/ajaxtabs/ajaxtabs.js	(from https://202020.net/)
20:38:26	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Apr%202021%2017:38:25%20GMT	https://202020.net/jquerytabs/jquery.tabs.css	C:/Users/im03th/Desktop/202020/1/202020.net/jquerytabs/jquery.tabs.css	(from https://202020.net/)
20:38:26	20912/20912	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2006%20Dec%202009%2007:00:00%20GMT	https://202020.net/js/jquery.js	C:/Users/im03th/Desktop/202020/1/202020.net/js/jquery.js	(from https://202020.net/)
20:38:27	12572/12572	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2006%20Dec%202009%2007:00:00%20GMT	https://202020.net/js/interface.js	C:/Users/im03th/Desktop/202020/1/202020.net/js/interface.js	(from https://202020.net/)
20:38:27	884/884	---MCZ	200	added ('OK')	text/css	date:Mon,%2007%20Dec%202009%2007:00:00%20GMT	https://202020.net/style.css	C:/Users/im03th/Desktop/202020/1/202020.net/style.css	(from https://202020.net/)
20:38:27	5254/5254	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2018%20Jun%202010%2006:00:00%20GMT	https://202020.net/Scripts/AC_RunActiveContent.js	C:/Users/im03th/Desktop/202020/1/202020.net/Scripts/AC_RunActiveContent.js	(from https://202020.net/)
20:38:28	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%226076a8eb-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/Users/im03th/Desktop/202020/1/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://202020.net/)
20:38:28	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Apr%202021%2017:38:27%20GMT	https://202020.net/ratteb/nav/main_up99.gif	C:/Users/im03th/Desktop/202020/1/202020.net/ratteb/nav/main_up99.gif	(from https://202020.net/)
20:38:28	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Apr%202021%2017:38:27%20GMT	https://202020.net/ratteb/tabs/main1.gif	C:/Users/im03th/Desktop/202020/1/202020.net/ratteb/tabs/main1.gif	(from https://202020.net/)
20:38:28	6652/6652	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Nov%202020%2015:44:55%20GMT	https://202020.net/x/na/g20_128.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/na/g20_128.png	(from https://202020.net/)
20:38:30	97532/97532	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Jan%202021%2008:38:01%20GMT	https://202020.net/index.html	C:/Users/im03th/Desktop/202020/1/202020.net/index-2.html	(from https://202020.net/)
20:38:30	65432/65432	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Jan%202021%2017:13:56%20GMT	https://202020.net/short.html	C:/Users/im03th/Desktop/202020/1/202020.net/short.html	(from https://202020.net/)
20:38:31	62958/62958	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Jan%202021%2019:10:41%20GMT	https://202020.net/top.html	C:/Users/im03th/Desktop/202020/1/202020.net/top.html	(from https://202020.net/)
20:38:31	19757/19757	---M--	200	added ('OK')	image/png	date:Sat,%2016%20May%202020%2019:01:34%20GMT	https://202020.net/x/na/logo_grreen_0.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/na/logo_grreen_0.png	(from https://202020.net/)
20:38:31	6782/6782	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2021:56:52%20GMT	https://202020.net/x/map.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/map.png	(from https://202020.net/)
20:38:31	5905/5905	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2021:57:13%20GMT	https://202020.net/x/stocks.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/stocks.png	(from https://202020.net/)
20:38:31	6257/6257	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2021:56:14%20GMT	https://202020.net/x/home.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/home.png	(from https://202020.net/)
20:38:32	5978/5978	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2021:55:52%20GMT	https://202020.net/x/email.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/email.png	(from https://202020.net/)
20:38:32	6756/6756	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2021:57:11%20GMT	https://202020.net/x/portfolio.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/portfolio.png	(from https://202020.net/)
20:38:32	29666/29666	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2021:56:53%20GMT	https://202020.net/x/music.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/music.png	(from https://202020.net/)
20:38:32	6887/6887	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2017:12:32%20GMT	https://202020.net/x/video.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/video.png	(from https://202020.net/)
20:38:32	5015/5015	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2021:56:14%20GMT	https://202020.net/x/history.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/history.png	(from https://202020.net/)
20:38:33	5181/5181	---M--	200	added ('OK')	image/png	date:Mon,%2014%20May%202018%2021:55:35%20GMT	https://202020.net/x/calendar.png	C:/Users/im03th/Desktop/202020/1/202020.net/x/calendar.png	(from https://202020.net/)
