date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:58	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2009%20Mar%202021%2013:41:57%20GMT	https://twtools.eu/pin_any_tweet/redirect.php	C:/Users/im03th/Desktop/1234/twtools.eu/pin_any_tweet/redirect.0.delayed	(from )
16:41:59	6301/6301	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Mar%202021%2013:41:58%20GMT	https://api.twitter.com/oauth/authorize?oauth_token=0nvyXwAAAAAAeml9AAABeBc5C6A	C:/Users/im03th/Desktop/1234/api.twitter.com/oauth/authorize69ba.html	(from )
16:41:59	138/138	---M-Z	200	added ('OK')	text/plain	date:Tue,%2009%20Mar%202021%2013:41:59%20GMT	https://api.twitter.com/robots.txt		(from )
16:42:00	27977/27977	---M-Z	200	added ('OK')	text/css	etag:%22+wO+6Xw51ZEeOnkEoUUkqw==%22	https://abs-0.twimg.com/login/tfw-base.3baf723b92aa68729f921c77ca3e3c1315116392.css	C:/Users/im03th/Desktop/1234/abs-0.twimg.com/login/tfw-base.3baf723b92aa68729f921c77ca3e3c1315116392.css	(from https://api.twitter.com/oauth/authorize?oauth_token=0nvyXwAAAAAAeml9AAABeBc5C6A)
16:42:01	1410/1410	---M--	200	added ('OK')	image/png	etag:%22xvalhGZVucXbMYiVb1sVUA==%22	https://abs.twimg.com/favicons/win8-auth-60.png	C:/Users/im03th/Desktop/1234/abs.twimg.com/favicons/win8-auth-60.png	(from https://api.twitter.com/oauth/authorize?oauth_token=0nvyXwAAAAAAeml9AAABeBc5C6A)
16:42:01	1784/1784	---M-Z	200	added ('OK')	application/javascript	etag:%2276qrTfW/TZXmL7Vpk/RnSQ==%22	http://abs-0.twimg.com/login/authorize_page.c4edf9ccaf94a42b6963991691957aaa827aa56b.js	C:/Users/im03th/Desktop/1234/abs-0.twimg.com/login/authorize_page.c4edf9ccaf94a42b6963991691957aaa827aa56b.js	(from https://api.twitter.com/oauth/authorize?oauth_token=0nvyXwAAAAAAeml9AAABeBc5C6A)
16:42:02	112956/112956	---M-Z	200	added ('OK')	application/javascript	etag:%22ni/3pFnHtfLdF8BCS5m2+Q==%22	http://abs-0.twimg.com/login/base.7ced3ee3ff61dadf91a9c9bd7082adc8f158a360.js	C:/Users/im03th/Desktop/1234/abs-0.twimg.com/login/base.7ced3ee3ff61dadf91a9c9bd7082adc8f158a360.js	(from https://api.twitter.com/oauth/authorize?oauth_token=0nvyXwAAAAAAeml9AAABeBc5C6A)
16:42:02	7627/7627	---M--	200	added ('OK')	image/png	etag:%22dKgXfH90CNJhAquPYReKSQ==%22	https://abs.twimg.com/a/1404172626/images/oauth_application.png	C:/Users/im03th/Desktop/1234/abs.twimg.com/a/1404172626/images/oauth_application.png	(from https://api.twitter.com/oauth/authorize?oauth_token=0nvyXwAAAAAAeml9AAABeBc5C6A)
16:42:03	2470/2470	---M--	200	added ('OK')	image/png	etag:%22ogCigZeOGPUkkPTMU+Nu6g==%22	https://abs-0.twimg.com/login/img/16/intents@1x.png	C:/Users/im03th/Desktop/1234/abs-0.twimg.com/login/img/16/intents@1x.png	(from https://abs-0.twimg.com/login/tfw-base.3baf723b92aa68729f921c77ca3e3c1315116392.css)
16:42:03	3883/3883	---M--	200	added ('OK')	image/gif	etag:%22BcujB7vDrmvCoZeVd2L1nQ==%22	https://abs-0.twimg.com/login/img/16/spinner@1x.gif	C:/Users/im03th/Desktop/1234/abs-0.twimg.com/login/img/16/spinner@1x.gif	(from https://abs-0.twimg.com/login/tfw-base.3baf723b92aa68729f921c77ca3e3c1315116392.css)
16:42:03	4973/4973	---M--	200	added ('OK')	image/png	etag:%22eSR+Oxkzf9LnCKPoG9Li6A==%22	https://abs-0.twimg.com/login/img/16/intents@2x.png	C:/Users/im03th/Desktop/1234/abs-0.twimg.com/login/img/16/intents@2x.png	(from https://abs-0.twimg.com/login/tfw-base.3baf723b92aa68729f921c77ca3e3c1315116392.css)
16:42:04	5552/5552	---M--	200	added ('OK')	image/gif	etag:%22GvKDSp90FQobnQl0dKegCA==%22	https://abs-0.twimg.com/login/img/16/spinner@2x.gif	C:/Users/im03th/Desktop/1234/abs-0.twimg.com/login/img/16/spinner@2x.gif	(from https://abs-0.twimg.com/login/tfw-base.3baf723b92aa68729f921c77ca3e3c1315116392.css)
